Submission Date,Who was your coaching call with?,What did you work on in the coaching call?,Was the purpose of the call fulfilled? (Did the coach successfully help you with what you wanted?),Were all of your questions answered and clearly explained?,How was the coaches attitude on the call?,Rate your overall experience in the call,Do you have any ideas / recommendations that would help improve your experience?,Are there any improvements you'd like to see from the coaches?,utm_source,utm_campaign,utm_medium,utm_term,Submission ID,Week-Year,Avg,Streak
"2023 April 23, 3:06PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5497257166423402450,17-2023,5,
"2023 April 23, 8:48PM",Selena Markantonakis,Ad Angle Review,5,5,5,5,,,,,,,5496097137213708237,17-2023,5,
"2023 April 24, 12:33AM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5495574832255867353,17-2023,5,
"2023 April 24, 10:48AM",Nick Mitris,Website Optimisation,5,5,5,5,,,,,,,5494834661713154344,17-2023,5,
"2023 April 24, 12:30PM",Selena Markantonakis,Website Optimisation,5,5,5,5,,,,,,,5494806772115084687,17-2023,5,
"2023 April 26, 11:05AM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5494786543818638512,17-2023,5,
"2023 April 26, 12:14PM",Nick Mitris,Ad Angle Review,5,5,5,5,,,,,,,5494743195292651334,17-2023,5,
"2023 April 26, 3:39PM",Nick Mitris,Website Optimisation,5,5,5,5,,,,,,,5494709916945270215,17-2023,5,
"2023 April 26, 5:33PM",Selena Markantonakis,Ad Account Review,5,5,5,5,,,,,,,5494689753412396035,17-2023,5,
"2023 April 27, 10:09AM",Nick Mitris,Product Research,5,5,5,5,,,,,,,5494071688381919757,17-2023,5,
"2023 April 27, 10:47AM",Nick Mitris,Ad Angle Review,5,5,5,5,,,,,,,5493995671113148561,17-2023,5,
"2023 April 27, 12:05PM",Nick Mitris,"Ad Angle Review
Ad Account Review",5,5,5,5,,,,,,,5493829247105020407,17-2023,5,
"2023 April 27, 4:01PM",Nick Mitris,Product Research,5,5,5,5,,,,,,,5493741954248682796,17-2023,5,
"2023 April 27, 4:13PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5493167941212577111,17-2023,5,
"2023 April 27, 5:39PM",Joshua Fimmano,Ad Angle Review,5,5,5,5,,,,,,,5493013008426930335,17-2023,5,
"2023 April 27, 6:04PM",Nick Mitris,Product Research,5,5,5,5,,,,,,,5492998520315297029,17-2023,5,
"2023 April 28, 12:32PM",Nick Mitris,Website Optimisation,5,5,5,5,,,,,,,5492988179025213976,17-2023,5,
"2023 April 28, 3:08PM",Joshua Fimmano,Ad Account Review,5,5,5,5,na,na,,,,,5492982033527844677,17-2023,5,
"2023 April 28, 4:01PM",Nick Mitris,Product Research,5,5,5,5,,,,,,,5492378527403083701,17-2023,5,
"2023 April 28, 4:32PM",Nick Mitris,Product Research,5,5,5,5,Was my first class so for now it was all perfect.,,,,,,5492337308517536144,17-2023,5,
"2023 April 29, 2:00PM",Joshua Fimmano,"Ad Angle Review
Ad Account Review",5,5,5,5,,,,,,,5492110139319217268,17-2023,5,
"2023 April 29, 7:04PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5491505485134657730,17-2023,5,
"2023 May 1, 7:49AM",Selena Markantonakis,Website Optimisation,5,5,5,5,N/A,"They all do a fantastic job, easy to talk to. No improvements needed :)",,,,,5491464109904956226,18-2023,5,
"2023 May 1, 4:14PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5491440412812008018,18-2023,5,
"2023 May 1, 11:12PM",Joshua Fimmano,"Product Research
Website Optimisation
Ad Angle Review",5,5,5,5,,,,,,,5491405442664034615,18-2023,5,
"2023 May 2, 10:44AM",Joshua Fimmano,Ad Account Review,5,5,5,5,Great Experience!,,,,,,5489667670412784111,18-2023,5,
"2023 May 2, 2:33PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5489522681213049273,18-2023,5,
"2023 May 3, 5:20AM",Joshua Fimmano,Website Optimisation,5,5,5,5,"I wish there was perfect internet to avoid Zom disconnections but other than that, it was a fun time.",,,,,,5489031423528975181,18-2023,5,
"2023 May 3, 2:45PM",Nick Mitris,Product Research,5,5,5,5,Keep up the support ?,No,,,,,5488741367012657173,18-2023,5,
"2023 May 3, 4:44PM",Joshua Fimmano,Ad Account Review,5,5,5,5,These guys are very knowledgeable.,"Is all good so far, excellent approach",,,,,5488654481127745215,18-2023,5,
"2023 May 3, 6:28PM",Joshua Fimmano,Ad Account Review,5,5,5,5,Nope everything was spot on :),Negative ?,,,,,5488638672416428196,18-2023,5,
"2023 May 3, 6:53PM",Nick Mitris,Product Research,5,5,5,5,,,,,,,5488636963293986846,18-2023,5,
"2023 May 4, 11:08AM",Nick Mitris,Website Optimisation,5,5,5,5,A pleasure as always!! super friendly and knowledgeable.,,,,,,5487964638421651521,18-2023,5,
"2023 May 4, 2:07PM",Nick Mitris,Product Research,4,5,5,4,,,,,,,5487779216619293699,18-2023,4.5,
"2023 May 4, 2:31PM",Nick Mitris,Ad Angle Review,5,5,5,5,,,,,,,5487743173236268841,18-2023,5,
"2023 May 5, 3:21AM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5487732901524604869,18-2023,5,
"2023 May 5, 9:31AM",Nick Mitris,Product Research,5,5,5,5,,,,,,,5473445533443295574,18-2023,5,
"2023 May 5, 11:34AM",Nick Mitris,"Ad Angle Review
Ad Account Review",5,5,5,5,Nick is Always very helpful and friendly to talk.,,,,,,5473387015124786126,18-2023,5,
"2023 May 5, 2:24PM",Nick Mitris,"Product Research
Website Optimisation",5,5,5,5,,,,,,,5473359858776077524,18-2023,5,
"2023 May 5, 2:31PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5473340754716053380,18-2023,5,
"2023 May 5, 3:11PM",Nick Mitris,Product Research,5,5,5,5,I think it was a great first coaching call for myself.,Not at this stage,,,,,5473309122011237251,18-2023,5,
"2023 May 6, 11:58AM",Nick Mitris,Website Optimisation,5,5,5,5,"- great experience as always - blows my mind how much help nick can give in just 30 mins

thank you for everything Nick
and thank you 6fds

I hope to make you all proud with some results this month :)","coaches are amazing

thank you for providing such a great support system",,,,,5473283781211139382,18-2023,5,
"2023 May 6, 3:33PM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5473148454913480358,18-2023,5,
"2023 May 6, 7:44PM",Nick Mitris,Product Research,5,5,5,5,,,,,,,5472922395022036917,18-2023,5,
"2023 May 7, 9:50AM",Nick Mitris,Website Optimisation,5,5,5,5,N/A,N/A,,,,,5472422777514329126,19-2023,5,
"2023 May 7, 10:29AM",Nick Mitris,Product Research,5,5,5,5,,,,,,,5472310597125240353,19-2023,5,
"2023 May 7, 4:13PM",Nick Mitris,"Ad Angle Review
Ad Account Review",5,5,5,5,Amazing,,,,,,5472254525912381988,19-2023,5,
"2023 May 8, 7:04AM",Joshua Fimmano,Ad Account Review,3,3,5,4,,,,,,,5472220746219088230,19-2023,3.75,
"2023 May 8, 11:28AM",Joshua Fimmano,Website Optimisation,5,4,5,5,,,,,,,5471501972483943419,19-2023,4.75,
"2023 May 9, 7:20PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5465597751212587230,19-2023,5,
"2023 May 10, 4:09AM",Joshua Fimmano,Ad Angle Review,5,5,5,5,Very helpful,,,,,,5465528794232540189,19-2023,5,
"2023 May 10, 9:01AM",Nick Mitris,Ad Angle Review,5,5,5,5,,,,,,,5465423786617696647,19-2023,5,
"2023 May 10, 1:41PM",Joshua Fimmano,Website Optimisation,5,5,5,5,no,no,,,,,5465326181011180262,19-2023,5,
"2023 May 10, 2:22PM",Nick Mitris,Product Research,5,5,5,5,,,,,,,5463873157442003924,19-2023,5,
"2023 May 10, 8:35PM",Joshua Fimmano,Ad Angle Review,4,4,5,4,,Explain everything slower. The sessions and explanations are sometimes too quick to follow. Would like to understand how to read the analytics when going through it.,,,,,5463750256029619229,19-2023,4.25,
"2023 May 10, 9:20PM",Nick Mitris,Product Research,5,5,5,5,,,,,,,5463677962011363508,19-2023,5,
"2023 May 11, 5:44AM",Nick Mitris,Website Optimisation,5,4,4,5,Just a simple conversation about how we're feeling about the whole situation and how we're coping with it would go along way. A lot of this can be super foreign to some people and they're taking some big steps.,just be a little more social. besides that all questions were answered completely,,,,,5463493281919247747,19-2023,4.5,
"2023 May 11, 9:02AM",Nick Mitris,Product Research,5,5,5,5,"Update ""Who was your coaching call with?*"" coaches list",,,,,,5462904537703493978,19-2023,5,
"2023 May 11, 9:21AM",Nick Mitris,Product Research,5,5,5,5,,,,,,,5462741135819072018,19-2023,5,
"2023 May 11, 12:16PM",Nick Mitris,Product Research,5,5,5,5,No I think Nick as spot on it was a great call.,All of you guys are amazing and very supportive so thank you kindly for everything so far it's really appreciated.,,,,,5462644131055712444,19-2023,5,
"2023 May 11, 12:35PM",Nick Mitris,Product Research,5,5,5,5,No,No,,,,,5462628939247211709,19-2023,5,
"2023 May 11, 2:03PM",Joshua Fimmano,"Product Research
Website Optimisation",5,5,5,5,"For the survey update the coach's that are now taking the calls ?
My call wasn't with the 3 options",Both done very well no improvements,,,,,5461131318715175151,19-2023,5,
"2023 May 11, 5:27PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5460959349121641312,19-2023,5,
"2023 May 12, 10:01AM",Nick Mitris,Website Optimisation,5,5,5,5,Super goooooodđ,,,,,,5458478217216942447,19-2023,5,
"2023 May 12, 12:00PM",Joshua Fimmano,Website Optimisation,5,5,5,5,"Josh always the best! Help me how to analysis the Meta, it is very useful for me! Thank you Josh","No, the best enough!",,,,,5456638852526317147,19-2023,5,
"2023 May 12, 2:57PM",Nick Mitris,Product Research,5,5,5,5,No i enjoyed the call it was very helpful,"No improvements needed they were clear, fast and straight to the point",,,,,5456638682529821055,19-2023,5,
"2023 May 12, 3:08PM",Nick Mitris,Product Research,5,5,5,5,,,,,,,5456599867447005880,19-2023,5,
"2023 May 13, 7:58AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5456514999619871964,19-2023,5,
"2023 May 13, 10:31AM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5456009310296391245,19-2023,5,
"2023 May 13, 11:00AM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5455659807026547841,19-2023,5,
"2023 May 13, 11:34AM",Nick Mitris,Website Optimisation,5,5,5,5,Thank you so much 6FDS Leaders for all that you do.,,,,,,5455130726684676541,19-2023,5,
"2023 May 13, 3:10PM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5455059681117160658,19-2023,5,
"2023 May 14, 11:58AM",Nick Mitris,Ad Account Review,5,5,5,5,Nothing,Nah algd,,,,,5455036565911983550,20-2023,5,
"2023 May 14, 9:27PM",Nick Mitris,Website Optimisation,5,5,5,5,,,,,,,5455021883529607848,20-2023,5,
"2023 May 15, 10:36AM",Joshua Fimmano,Ad Angle Review,5,5,5,5,,,,,,,5454958721173138557,20-2023,5,
"2023 May 15, 1:05PM",Joshua Fimmano,Ad Account Review,4,5,5,5,,"The coaches should be asking whether we are using V1 or V2 of the course, and provide recommendations accordingly.",,,,,5454903183828935208,20-2023,4.75,
"2023 May 15, 1:50PM",Nick Mitris,"Website Optimisation
Ad Angle Review
Ad Account Review",5,5,5,5,,,,,,,5454248896614234725,20-2023,5,
"2023 May 15, 3:34PM",Joshua Fimmano,Ad Account Review,5,5,5,5,"Aaron, Luigi and Joshua were in the call, appreciated their patience despite my technical issues I had beforehand. 

Aaron done a terrific job by outlining what steps i needed to take to solve my issue. 
I will complete the steps and advise Aaron of the outcome.","No improvements, keep doing a terrific job and we will be sure to flourish with all your help.",,,,,5454227637018956731,20-2023,5,
"2023 May 15, 3:35PM",Selena Markantonakis,Website Optimisation,5,5,5,5,,,,,,,5454192157443012621,20-2023,5,
"2023 May 16, 12:34PM",Nick Mitris,Product Research,5,5,5,5,"No ideas or recommendations, but at the top it just had Selena, Nick and Josh as a coach listed to pick from. 
My coach on the call was Aaron H.","None, Aaron was very helpful and kind.",,,,,5454140832115628749,20-2023,5,
"2023 May 16, 4:05PM",Joshua Fimmano,Website Optimisation,5,5,5,5,Everything was perfect? want to say thanks to Joshua and Aaron.,,,,,,5454120338122198565,20-2023,5,
"2023 May 16, 5:08PM",Joshua Fimmano,Product Research,5,5,5,5,"This form isn't up to date, I was in a call with Aron",,,,,,5454042596361230775,20-2023,5,
"2023 May 16, 7:15PM",Joshua Fimmano,Product Research,5,5,5,5,"I had Aaron H as my coach 

Everything was well explained!",,,,,,5453522593305798099,20-2023,5,
"2023 May 16, 9:40PM",Joshua Fimmano,Product Research,5,5,5,5,No.,No.,,,,,5453476925225655659,20-2023,5,
"2023 May 17, 10:02AM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5453326873936490168,20-2023,5,
"2023 May 17, 12:07PM",Aaron Black,"Product Research
Website Optimisation",5,5,4,4,,,,,,,5452487741227173630,20-2023,4.5,
"2023 May 17, 1:00PM",Aaron Black,Product Research,5,5,5,5,,,,,,,5452434932485279816,20-2023,5,
"2023 May 17, 3:54PM",Aaron Black,Product Research,5,5,5,5,,,,,,,5450789275526817188,20-2023,5,
"2023 May 17, 4:02PM",Luigi Mammoliti,Website Optimisation,4,4,4,4,,,,,,,5449991168647102276,20-2023,4,
"2023 May 17, 4:43PM",Joshua Fimmano,Website Optimisation,4,4,4,3,could slow down and work through the answers thoroughly as appointments always feel rushed and only go for about 15 mins whereas they are 30 mins on the calendar. I fail to get my follow-up questions answered in a rush sometimes.,the above.,,,,,5449747965011384826,20-2023,3.75,
"2023 May 17, 5:09PM",Leon Tebyani,Ad Angle Review,5,5,5,5,,,,,,,5449136843426393907,20-2023,5,
"2023 May 17, 5:29PM",Leon Tebyani,Product Research,5,4,5,5,,,,,,,5449096610513874603,20-2023,4.75,
"2023 May 18, 11:06AM",Nick Mitris,Product Research,5,5,5,5,Coach Nick was very accomodating and super helpful today. I appreciate his time and effort.,At the moment coaches are doing well in their jobs. Maybe in the near future we could think of something they can offer to elevate the teaching process in 6FDS.,,,,,5448214539718095005,20-2023,5,
"2023 May 18, 11:16AM",Nick Mitris,Ad Account Review,5,5,5,5,No ideas or recommendations. Everything was great.,No improvement needed :),,,,,5448071993913801669,20-2023,5,
"2023 May 18, 2:51PM",Nick Mitris,Product Research,5,5,5,5,,,,,,,5448034848806590609,20-2023,5,
"2023 May 18, 3:55PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5447317811411254880,20-2023,5,
"2023 May 18, 6:02PM",Aaron Black,Product Research,5,5,4,5,,,,,,,5447293084748347718,20-2023,4.75,
"2023 May 18, 7:04PM",Aaron Black,Product Research,5,5,5,5,,"Not at all. Aaron was great, answered all my questions genuinely and honestly, Top guy. Always room to get better in our own way.",,,,,5446388593182054645,20-2023,5,
"2023 May 18, 7:19PM",Leon Tebyani,Website Optimisation,5,5,5,5,Everything was alright !,So far so good.,,,,,5446387986424816280,20-2023,5,
"2023 May 18, 8:38PM",Nick Mitris,Website Optimisation,5,5,5,5,,,,,,,5445535353324619953,20-2023,5,
"2023 May 19, 7:46AM",Aaron Black,Ad Account Review,5,5,5,5,,,,,,,5444813095221248260,20-2023,5,
"2023 May 19, 9:33AM",Aaron Black,Ad Account Review,1,1,1,1,Hi host was unable to attend the call. I waited about 20 minutes till 9:20 but no response.,,,,,,5444813003421334030,20-2023,1,
"2023 May 19, 10:09AM",Joshua Fimmano,Website Optimisation,5,5,5,5,None - very helpful !,N/A,,,,,5444755028128073961,20-2023,5,
"2023 May 19, 11:17AM",Aaron Black,Product Research,5,4,5,5,I didn't have anything too complicated but thought Aaron was great!,Not at the moment. You're all great!!,,,,,5444727078641272959,20-2023,4.75,
"2023 May 19, 12:21PM",Aaron Black,Product Research,5,5,5,5,,,,,,,5444591368882939883,20-2023,5,
"2023 May 19, 12:57PM",Nick Mitris,Ad Angle Review,5,5,5,5,,,,,,,5444423575913332062,20-2023,5,
"2023 May 19, 2:06PM",Nick Mitris,Website Optimisation,5,5,5,5,,,,,,,5443952238649605083,20-2023,5,
"2023 May 19, 8:08PM",Leon Tebyani,Ad Angle Review,5,5,4,5,"Be on time next time pls, so that it's the full 30min, not 25 :(",,,,,,5443937524521245762,20-2023,4.75,
"2023 May 19, 10:46PM",Aaron Black,Product Research,5,5,5,5,,,,,,,5443859581126415684,20-2023,5,
"2023 May 20, 9:26AM",Aaron Black,Ad Account Review,5,5,5,5,Great and very helpful. Fixed my meta pixel issues before I go live.  Thanks for your support.,,,,,,5443763883359145264,20-2023,5,
"2023 May 20, 9:32AM",Nick Mitris,Ad Account Review,5,5,5,5,Nick is always very helpful and friendly. Booked in with him before I go live.  He fixed couple of bits and pieces and wish me good luck. Thanks for being so helpful and friendly all the time.,,,,,,5443117661325673573,20-2023,5,
"2023 May 20, 10:59AM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5443049152428819119,20-2023,5,
"2023 May 20, 3:26PM",Nick Mitris,Ad Account Review,5,5,5,5,Bro this guys always exceeds expectations. Legend.,No improvements for the coach. Although the module that explains how to set up pixel (I think it's 5.11) is a bit outdated. Led to a bit of confusion for me.,,,,,5442958986497231200,20-2023,5,
"2023 May 20, 3:32PM",Nick Mitris,Product Research,5,5,5,5,The coaching experience today was a breeze. Nick was able to review my Customer Avatar Worksheet and was able to revise and put important details into it. Good job for coach Nick!,,,,,,5442948740616447995,20-2023,5,
"2023 May 21, 5:38AM",Aaron Black,Website Optimisation,5,5,5,5,,He did very well coaching us with our website optimization. With him appreciating our work boosts our confidence and inspired us to strive more.,,,,,5442942281019595894,21-2023,5,
"2023 May 21, 9:51AM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5442826809812632672,21-2023,5,
"2023 May 21, 10:01AM",Leon Tebyani,Ad Angle Review,5,5,5,5,,The coach done a great job in assisting us and giving us suggestions. Thank you very much.,,,,,5442769026409867847,21-2023,5,
"2023 May 21, 1:38PM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5442715232319594209,21-2023,5,
"2023 May 21, 2:41PM",Leon Tebyani,Product Research,5,5,5,5,No,No,,,,,5441812681172533271,21-2023,5,
"2023 May 21, 5:26PM",Leon Tebyani,Ad Angle Review,5,5,5,5,"great experience as always
- straight to the point
- fix issues
- smash out everything that needs to be done

always so helpful after main call is done to look at little things I need opinions or help on 10/10

always a pleasure to make a call because u know ya gonna get stuff done and move forward. everyone is so friendly and helpful and knowledgable

thanks again leon","coaches are awesome and so approachable. u know there probably loaded but are working because they wanna help others achieve greatness

such a great group of people 

thanks again 6fds",,,,,5439590904813686286,21-2023,5,
"2023 May 22, 9:28AM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5439544957449025427,21-2023,5,
"2023 May 22, 10:34AM",Leon Tebyani,Ad Angle Review,5,5,5,5,,,,,,,5439259487027403533,21-2023,5,
"2023 May 22, 11:35AM",Aaron Black,Product Research,5,5,5,5,,,,,,,5438703936315477801,21-2023,5,
"2023 May 22, 1:45PM",Leon Tebyani,Product Research,5,5,5,5,,,,,,,5438343725311381195,21-2023,5,
"2023 May 22, 2:32PM",Leon Tebyani,Ad Angle Review,4,4,4,4,,,,,,,5437974671937493292,21-2023,4,
"2023 May 22, 4:52PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5437882881173458281,21-2023,5,
"2023 May 22, 7:33PM",Aaron Black,Product Research,5,5,5,5,,,,,,,5437789346281598137,21-2023,5,
"2023 May 23, 3:01PM",Aaron Black,Ad Account Review,5,5,5,5,,,,,,,5437784541121320007,21-2023,5,
"2023 May 23, 4:19PM",Leon Tebyani,Ad Angle Review,5,5,5,5,,,,,,,5437551324421259632,21-2023,5,
"2023 May 24, 5:41AM",Aaron Black,Product Research,5,5,5,5,,,,,,,5437101852274728263,21-2023,5,
"2023 May 24, 1:05PM",Joshua Fimmano,"Website Optimisation
Ad Angle Review",4,4,4,4,,,,,,,5437095915318444588,21-2023,4,
"2023 May 24, 2:14PM",Nick Mitris,Website Optimisation,5,5,5,5,,,,,,,5437020397444340612,21-2023,5,
"2023 May 24, 4:05PM",Aaron Black,Ad Account Review,5,5,5,5,"as always amazing, friendly very helpful coach

so good to be working with people who were once in my shoes

10/10 support and nice to be able to have a chat as well","you are doing amazing for me 6fds ...course and support is EPIC

much appreciated, really feel the money I am spending is going to a good cause

thanks, hopefully I can get some sales when I go LIVE

thanks again
chris",,,,,5435259341555407638,21-2023,5,
"2023 May 25, 10:40AM",Nick Mitris,Ad Angle Review,5,5,5,5,,,,,,,5435101867447272619,21-2023,5,
"2023 May 25, 3:59PM",Leon Tebyani,Website Optimisation,5,5,5,5,"Great Coach, Got Me That 1 Step Closer To Making Money!",,,,,,5434596624527619008,21-2023,5,
"2023 May 25, 5:32PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5434367901717513118,21-2023,5,
"2023 May 25, 6:03PM",Aaron Black,Product Research,5,5,5,5,,,,,,,5434292190725896291,21-2023,5,
"2023 May 25, 7:43PM",Leon Tebyani,Product Research,5,5,5,5,N/A,"Maybe coaches can give some extra time regarding suppliers. However, everything was smooth",,,,,5432649175423323228,21-2023,5,
"2023 May 25, 11:50PM",Leon Tebyani,Product Research,5,5,5,5,,,,,,,5432618763914282059,21-2023,5,
"2023 May 26, 3:13PM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5432600556615784470,21-2023,5,
"2023 May 26, 4:46PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5431844431023300754,21-2023,5,
"2023 May 26, 5:07PM",Aaron Black,Website Optimisation,5,5,5,5,Very happy with the experience so far,None. The coaches are very knowledgeable and helpful in fulfilling my requests,,,,,5431814757614916053,21-2023,5,
"2023 May 27, 11:56AM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5431727135271489728,21-2023,5,
"2023 May 27, 3:02PM",Nick Mitris,Product Research,5,5,5,5,,,,,,,5431064017321064233,21-2023,5,
"2023 May 27, 4:49PM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5431021010121975338,21-2023,5,
"2023 May 28, 9:02AM",Leon Tebyani,Product Research,5,5,5,5,Not at the moment. Very happy with the call. Thank you ??,,,,,,5430984900794216847,22-2023,5,
"2023 May 28, 10:06AM",Leon Tebyani,Product Research,5,5,4,5,,,,,,,5430960556418704371,22-2023,4.75,
"2023 May 28, 11:00AM",Leon Tebyani,Website Optimisation,5,5,5,5,,,,,,,5430283171173397169,22-2023,5,
"2023 May 28, 12:08PM",Nick Mitris,Product Research,5,5,5,5,,,,,,,5430176387618714255,22-2023,5,
"2023 May 28, 4:56PM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5429915989592515725,22-2023,5,
"2023 May 29, 10:06AM",Leon Tebyani,Website Optimisation,5,5,5,5,"Helpful, patient and great listener! felt like he actually wanted to help me",Not for Leon think he's doing great,,,,,5429083761171792200,22-2023,5,
"2023 May 29, 10:23AM",Joshua Fimmano,Ad Account Review,5,5,5,5,Zoom meeting done on my lunch break. I have clear action plan to work on after work. Will tackle then and provide feedback accordingly.,Nah they all good. Always helpful and supportive.,,,,,5428501893027760676,22-2023,5,
"2023 May 29, 10:31AM",Joshua Fimmano,Ad Angle Review,5,5,5,5,,,,,,,5428163421175114068,22-2023,5,
"2023 May 29, 12:23PM",Nick Mitris,Ad Account Review,5,5,5,5,This is the second time I have spoken to Nick in regards to my ad account review. He has been very helpful and given us further perspective of what we so far done and why it hasn't worked and what we need to do next. Also answered further questions. looking forward to working with Nick again!,,,,,,5427383484419860911,22-2023,5,
"2023 May 30, 12:00PM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5426687030415009796,22-2023,5,
"2023 May 30, 3:31PM",Luigi Mammoliti,Ad Account Review,5,5,5,5,,,,,,,5426621769218072831,22-2023,5,
"2023 May 30, 4:01PM",Leon Tebyani,Product Research,5,5,4,4,,,,,,,5426415172011611139,22-2023,4.5,
"2023 May 30, 4:35PM",Aaron Black,Website Optimisation,5,5,5,5,Give Him A Raise,No Improvement needed :),,,,,5426414485319293809,22-2023,5,
"2023 May 30, 6:18PM",Luigi Mammoliti,Website Optimisation,5,5,5,5,Perfect.,Done everything I asked,,,,,5425627393424626208,22-2023,5,
"2023 May 31, 8:53AM",Aaron Black,Product Research,5,5,5,5,"This call was re: finding out winning products from our 30 viable products. The process was simple, quick and all that was required at that stage.",Other than Aaron's video not working which he explained and even offered to reschedule if we preferred to have video working. It was no issue for me.,,,,,5425167006689229679,22-2023,5,
"2023 May 31, 9:43AM",Leon Tebyani,Website Optimisation,5,5,5,5,,,,,,,5424957701468116672,22-2023,5,
"2023 May 31, 10:07AM",Leon Tebyani,Product Research,5,5,5,5,,,,,,,5424946921616457188,22-2023,5,
"2023 May 31, 12:31PM",Nick Mitris,"Ad Angle Review
Ad Account Review",5,5,5,5,,,,,,,5424924919819322909,22-2023,5,
"2023 May 31, 2:33PM",Nick Mitris,Product Research,5,5,5,5,"No, the call was good and efficient.  Covered my questions, gave me information and advice for where to go next.",,,,,,5423973851225202771,22-2023,5,
"2023 May 31, 5:19PM",Luigi Mammoliti,Ad Angle Review,5,5,5,5,Everything is great,None,,,,,5423900833163148151,22-2023,5,
"2023 June 1, 2:05PM",Luigi Mammoliti,Website Optimisation,5,5,5,5,,,,,,,5423824549212396259,22-2023,5,
"2023 June 1, 2:31PM",Leon Tebyani,Product Research,5,5,5,5,,,,,,,5422223616515435519,22-2023,5,
"2023 June 1, 6:41PM",Leon Tebyani,Website Optimisation,5,5,5,5,Leon was amazing and super helpful,,,,,,5422201330356874088,22-2023,5,
"2023 June 1, 8:27PM",Luigi Mammoliti,Product Research,5,5,5,5,,,,,,,5422089154022972911,22-2023,5,
"2023 June 2, 10:08AM",Luigi Mammoliti,Ad Account Review,1,1,1,1,"Call did not occur, I was waiting for almost 30mins and host did not attend!
I have sent message to via fb group about what has occurred.",,,,,,5421196939113747751,22-2023,1,
"2023 June 2, 12:01PM",Luigi Mammoliti,Website Optimisation,5,5,5,5,"Super helpful,  short and to the point which is great. Very friendly and overall a great call!","No, I really like how they share their screen so you can also see what's going on. I like that you can ask any questions and they're all very knowledgeable",,,,,5420551077856481489,22-2023,5,
"2023 June 2, 1:55PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5419554931014520350,22-2023,5,
"2023 June 2, 3:03PM",Aaron Black,Product Research,4,5,4,4,,,,,,,5418610795315682581,22-2023,4.25,
"2023 June 3, 9:54AM",Joshua Fimmano,Product Research,5,5,5,5,,"Maybe a little more time spent on choosing the products. However in saying this the coach seemed very proficient in what works and what doesn't. So in saying that I can understand that experienced coaches work quickly.

Thanks for the help! legend.",,,,,5417020454512492346,22-2023,5,
"2023 June 3, 1:08PM",Luigi Mammoliti,Product Research,5,5,5,5,,Thank you for the advice. See you guys Tuesday night ?,,,,,5416842043029401855,22-2023,5,
"2023 June 4, 12:51PM",Leon Tebyani,Product Research,5,5,5,5,"Leon was very helpful and informative regarding our product research and helped us to find viable products that we could move forward with and build our website off of. Thank you, Leon.","No. Thank you, coaches, for all the great work that you all do.",,,,,5416147688911390606,23-2023,5,
"2023 June 4, 2:29PM",Leon Tebyani,Product Research,5,5,5,5,,,,,,,5415203249919188099,23-2023,5,
"2023 June 4, 11:30PM",Luigi Mammoliti,Ad Account Review,5,5,5,5,,,,,,,5414591634284686460,23-2023,5,
"2023 June 5, 10:25AM",Leon Tebyani,Ad Angle Review,5,5,5,5,,,,,,,5414588401757841379,23-2023,5,
"2023 June 5, 11:08AM",Leon Tebyani,Product Research,5,5,5,5,,,,,,,5414530638018749177,23-2023,5,
"2023 June 5, 12:46PM",Leon Tebyani,"Product Research
Website Optimisation
Ad Angle Review
Ad Account Review",5,5,5,5,,,,,,,5414406877446098678,23-2023,5,
